model,elo,elo_rank,d1_score,d1_rank,d3_score,d3_rank,d4_score,d4_rank,disconnect_d1,disconnect_d3,disconnect_d4,disconnect_total,quadrant,watertight_pct,manifold_edge_ratio,avg_components,has_uv_pct,has_texture_pct,avg_pbr_channels,avg_texture_resolution
Strawberrry,1382.0,1,0.31166826485005583,14,1.0,5,0.9733333333333334,2,13,4,1,18,Q2: ELO-High / WT-None (=0%),0.0,0.7963330000000001,603.66,100.0,100.0,2.84,4096.0
Strawb3rry,1370.0,2,0.3827146095683951,9,1.0,5,1.0,1,7,3,1,11,Q2: ELO-High / WT-None (=0%),0.0,0.954874,216.58,100.0,100.0,3.0,4096.0
TRELLIS,1306.0,3,0.31539247828397876,13,1.0,5,0.29166666666666663,8,10,2,5,17,Q2: ELO-High / WT-None (=0%),0.0,0.7857129999999999,386.37,100.0,100.0,1.0,1024.0
Zaohaowu3D,1302.0,4,0.4153688377724061,7,1.0,5,0.41666666666666663,6,3,1,2,6,Q2: ELO-High / WT-None (=0%),0.0,0.97793,77.7,100.0,100.0,1.0,2048.0
Hunyuan3D-2,1298.0,5,0.32078392913875925,11,1.0,5,0.29166666666666663,8,6,0,3,9,Q2: ELO-High / WT-None (=0%),0.0,0.82627,639.08,100.0,100.0,1.0,1024.0
InstantMesh,1278.0,6,0.7927086876389698,2,0.0,13,0.0,13,4,7,7,18,Q1: ELO-High / WT-High (>0%),89.0,0.999984,27.46,0.0,0.0,0.0,0.0
Meshy-5,1243.0,7,0.38730533025963626,8,1.0,5,0.41666666666666663,6,1,2,1,4,Q2: ELO-High / WT-None (=0%),0.0,0.944339,149.31,100.0,100.0,1.0,2048.0
Unique3D,1230.0,8,0.8538932378654166,1,0.0,13,0.0,13,7,5,5,17,Q1: ELO-High / WT-High (>0%),50.0,0.999871,2.0,0.0,0.0,0.0,0.0
Hi3DGen,1207.0,9,0.7391502041454044,3,0.0,13,0.0,13,6,4,4,14,Q3: ELO-Low  / WT-High (>0%),70.0,0.999989,18.8,0.0,0.0,0.0,0.0
MeshFormer,1192.0,10,0.0,16,0.0,13,0.0,13,6,3,3,12,Q4: ELO-Low  / WT-None (=0%),0.0,0.0002860215053763,97890.78494623656,0.0,0.0,0.0,0.0
SF3D,1190.0,11,0.341988469692944,10,1.0,5,0.4583333333333333,4,1,6,7,14,Q4: ELO-Low  / WT-None (=0%),0.0,0.8696649999999999,419.21,100.0,100.0,2.0,1024.0
Real3D,1158.0,12,0.4850182919131391,6,0.0,13,0.0,13,6,1,1,8,Q4: ELO-Low  / WT-None (=0%),0.0,0.997618,15.87,0.0,0.0,0.0,0.0
SPAR3D,1144.0,13,0.3176424496173863,12,1.0,5,0.4583333333333333,4,1,8,9,18,Q4: ELO-Low  / WT-None (=0%),0.0,0.836819,1021.72,100.0,100.0,2.0,1024.0
TripoSR,1089.0,14,0.5780032153178187,5,0.0,13,0.0,13,9,1,1,11,Q4: ELO-Low  / WT-None (=0%),0.0,0.997628,4.41,0.0,0.0,0.0,0.0
IM-MA,1016.0,15,0.5847838098634145,4,0.0,13,0.0,13,11,2,2,15,Q3: ELO-Low  / WT-High (>0%),16.0,0.961989,7.14,0.0,0.0,0.0,0.0
3DTopia-XL,1000.0,16,0.2835820917653696,15,1.0,5,0.4583333333333333,4,1,11,12,24,Q4: ELO-Low  / WT-None (=0%),0.0,0.7531669999999999,1668.15,100.0,100.0,2.0,1024.0
