model,median,mean,std,min,max,count,log_median,log_mean
Unique3D,1.0,2.0,1.9,1,15,100,0.693,1.099
TripoSR,2.0,4.4,6.4,1,48,100,1.099,1.688
IM-MA,5.0,7.1,7.0,1,38,100,1.792,2.097
TripoSG,8.0,80.9,213.6,1,1249,100,2.197,4.406
Real3D,9.0,15.9,20.7,1,147,100,2.303,2.826
Hi3DGen,9.0,18.8,47.4,1,428,100,2.303,2.986
InstantMesh,14.5,27.5,41.7,1,283,100,2.741,3.348
Zaohaowu3D,52.0,77.7,86.3,11,626,100,3.97,4.366
Strawb3rry,90.5,216.6,764.7,27,7659,100,4.516,5.383
Meshy-5,120.5,149.3,129.4,4,758,100,4.8,5.013
SF3D,178.0,419.2,710.2,7,4014,100,5.187,6.041
TRELLIS,251.5,386.4,434.0,15,2877,100,5.531,5.959
Strawberrry,408.5,603.7,600.0,25,3574,100,6.015,6.405
Hunyuan3D-2,462.5,639.1,788.9,8,5822,100,6.139,6.462
Hunyuan3D-2.1,473.5,560.1,655.7,7,6079,100,6.162,6.33
SPAR3D,561.5,1021.7,1360.8,58,9554,100,6.332,6.93
3DTopia-XL,1619.5,1668.2,780.2,4,3488,100,7.39,7.42
Meshy-6,6670.0,7567.5,5833.7,664,34161,100,8.806,8.932
TRELLIS.2-4B,8288.5,13661.5,13948.7,30,83316,100,9.023,9.522
MeshFormer,96814.0,97890.8,6936.0,92839,150722,93,11.481,11.492
