prompt_name,category,matched_keywords,all_categories,ambiguous,truncated
A_cartoon_house_with_red_roof,architecture,house,architecture,False,False
A_castle_made_of_cardboard,architecture,castle,architecture,False,False
A_heart_made_of_wood,object,heart,object,False,False
A_photo_of_a_Japanese_Porcelain_Imari_vase_on_the_ground_below_a_wooden_chair,furniture,chair,furniture|object,True,False
A_photo_of_a_Ming_Dynasty_vase_on_a_leather_topped_table,furniture,table,furniture|object,True,False
A_photograph_of_a_portrait_of_a_statue_of_a_pharaoh_wearing_steampunk_glasses,character,pharaoh,character|object,True,False
A_rhino_beetle_this_size_of_a_tank_grapples_a_real_life_passenger_airplane_on_the_tarmac,animal,beetle,animal|vehicle|abstract,True,False
Anubis_wearing_sunglasses_and_sitting_astride_a_hog_motorcyle,character,anubis,character|vehicle|object,True,False
The_Oriental_Pearl,architecture,oriental pearl,architecture,False,False
a_Christmas_tree,architecture,christmas tree,architecture|organic,True,False
a_baby_penguin,animal,penguin,animal,False,False
a_baby_penguin_wearing_a_blue_hat,animal,penguin,animal|object,True,False
a_ball,object,ball,object,False,False
a_bamboo_ladder,object,ladder,object,False,False
a_barred_owl_peeking_out_from_dense_tree_branches,animal,owl,animal|organic,True,False
a_bird,animal,bird,animal,False,False
a_black_baseball_hat,object,baseball|hat,object,False,False
a_black_t-shirt_with_the_peace_sign_on_it,object,t-shirt,object,False,False
a_bloody_mary_cocktail,object,cocktail,object,False,False
a_blue_t-shirt_with_a_dinosaur_on_it,animal,dinosaur,animal|object,True,False
a_boat,vehicle,boat,vehicle,False,False
a_bookshelf_with_ten_books_stacked_vertically,furniture,bookshelf,furniture,False,False
a_bowl,object,bowl,object,False,False
a_bundle_of_blue_and_yellow_flowers_in_a_vase,object,vase,object,False,False
a_capybara_made_of_voxels_sitting_in_a_field,animal,capybara,animal,False,False
a_cardboard_spaceship,vehicle,spaceship,vehicle,False,False
a_cat,animal,cat,animal,False,False
a_cat_statue,animal,cat,animal|object,True,False
a_chest,object,chest,object,False,False
a_coffee_maker,object,coffee maker,object,False,False
a_coffee_table,furniture,table,furniture,False,False
a_fish,animal,fish,animal,False,False
a_fish_without_eyes,animal,fish,animal,False,False
a_fox,animal,fox,animal,False,False
a_friendly_car,vehicle,car,vehicle,False,False
a_green_pepper,organic,green pepper|pepper,organic,False,False
a_half-full_pitcher_of_stout,object,pitcher,object,False,False
a_hammer,object,hammer,object,False,False
a_handpalm,character,handpalm,character,False,False
a_hat,object,hat,object,False,False
a_horse_without_a_rider,animal,horse,animal,False,False
a_house,architecture,house,architecture,False,False
a_house_with_no_windows,architecture,house,architecture,False,False
a_knight_holding_a_long_sword,character,knight,character|object,True,False
a_koi_fish_flying_in_the_sky,animal,fish|koi,animal,False,False
a_large_blue_box,object,box,object,False,False
a_large_open_book,object,book,object,False,False
a_large_present_with_a_red_ribbon,object,present,object,False,False
a_large_stone_pedestal_without_a_statue_of_a_horse_on_it,animal,horse,animal|object,True,False
a_light_shining_on_a_giraffe_in_a_street,animal,giraffe,animal,False,False
a_long-island_ice_tea_cocktail,object,cocktail,object,False,False
a_margarita,object,margarita,object,False,False
a_metallic_blue_sphere_to_the_left_of_a_brown_cardboard_box,object,sphere|box,object,False,False
a_milk_container_on_a_table,furniture,table,furniture|object,True,False
a_monarch_butterfly,animal,butterfly,animal,False,False
a_mountain,organic,mountain,organic,False,False
a_nerdy_bear_wearing_glasses_and_a_bowtie,animal,bear,animal,False,False
a_painting_of_an_ornate_treasure_chest_with_a_broad_sword_propped_up_against_it,object,painting|chest|sword,object,False,False
a_pair_of_headphones_on_a_statue_of_a_horse,animal,horse,animal|object,True,False
a_pickup_truck,vehicle,truck,vehicle,False,False
a_pig_in_a_forest,animal,pig,animal,False,False
a_plant,organic,plant,organic,False,False
a_portrait_of_a_statue_of_a_pharaoh_wearing_steampunk_glasses,character,pharaoh,character|object,True,False
a_pumpkin,organic,pumpkin,organic,False,False
a_rabbit_with_white_fur_and_black-tipped_ears,animal,rabbit,animal,False,False
a_red_sphere_on_top_of_a_yellow_box,object,sphere|box,object,False,False
a_red_sports_car_on_the_road,vehicle,car,vehicle,False,False
a_robot,character,robot,character,False,False
a_shoe,object,shoe,object,False,False
a_small_house,architecture,house,architecture,False,False
a_snowy_owl_standing_in_a_grassy_field,animal,owl,animal,False,False
a_store_front,architecture,store front,architecture,False,False
a_sunken_submarine_at_the_bottom_of_the_ocean,vehicle,submarine,vehicle,False,False
a_sweatshirt,object,sweatshirt,object,False,False
a_thumbnail_image_of_an_ice_cream_cone,object,ice cream,object,False,False
a_trash_bin,object,trash bin,object,False,False
a_wooden_post,furniture,post,furniture,False,False
an_abstract_painting_of_a_spaceship,vehicle,spaceship,vehicle|object,True,False
an_aerial_view_of_the_Great_Pyramid,architecture,pyramid,architecture,False,False
an_antique_chest,object,chest,object,False,False
an_antique_chest_with_three_drawers,object,chest,object,False,False
an_armchair,furniture,armchair,furniture,False,False
an_avocado,organic,avocado,organic,False,False
an_elephant,animal,elephant,animal,False,False
an_emoji_of_a_baby_penguin_wearing_a_blue_hat,animal,penguin,animal|object,True,False
an_illustration_of_a_teapot,object,teapot,object,False,False
an_orange,organic,orange,organic,False,False
an_ornate_gold_harp,object,harp,object,False,False
an_ostrich,animal,ostrich,animal,False,False
an_owl_standing_on_a_wire,animal,owl,animal,False,False
artificial_intelligence,abstract,artificial intelligence,abstract,False,False
beer,object,beer,object,False,False
black_hi-top_sneakers,object,sneakers,object,False,False
bond,abstract,bond,abstract,False,False
chair,furniture,chair,furniture,False,False
feeling,abstract,feeling,abstract,False,False
insight,abstract,insight,abstract,False,False
life,abstract,life,abstract,False,False
metal,abstract,metal,abstract,False,False
molecule,abstract,molecule,abstract,False,False
A_photo_of_a_Japanese_Porcelain_Imari_vase_on_the_,object,vase,object,False,True
A_photograph_of_a_portrait_of_a_statue_of_a_pharao,object,statue,object,False,True
A_rhino_beetle_this_size_of_a_tank_grapples_a_real,animal,beetle,animal,False,True
Anubis_wearing_sunglasses_and_sitting_astride_a_ho,character,anubis,character|object,True,True
a_large_stone_pedestal_without_a_statue_of_a_horse,animal,horse,animal|object,True,True
a_metallic_blue_sphere_to_the_left_of_a_brown_card,object,sphere,object,False,True
a_painting_of_an_ornate_treasure_chest_with_a_broa,object,painting|chest,object,False,True
a_portrait_of_a_statue_of_a_pharaoh_wearing_steamp,character,pharaoh,character|object,True,True
three_quarters_view_of_a_rusty_old_red_pickup_truc,other,,,False,False
